"path","name","ext","bytes","MB"
"Assets/UI/Examples/text_box_example_weave_menu.png","text_box_example_weave_menu.png",".png","214460","0.2"
"Assets/UI/Examples/heart_icon_example.png","heart_icon_example.png",".png","34877","0.03"
"Assets/UI/Fonts/Almendra/Almendra-Bold.ttf","Almendra-Bold.ttf",".ttf","34732","0.03"
"Assets/UI/Fonts/Almendra/Almendra-BoldItalic.ttf","Almendra-BoldItalic.ttf",".ttf","33496","0.03"
"Assets/UI/Fonts/Almendra/Almendra-Italic.ttf","Almendra-Italic.ttf",".ttf","33384","0.03"
"Assets/UI/Inventory/inventory_icon_boots.png","inventory_icon_boots.png",".png","26773","0.03"
"Assets/UI/Inventory/inventory_icon_chest.png","inventory_icon_chest.png",".png","25600","0.02"
"Assets/UI/Inventory/inventory_icon_weapon.png","inventory_icon_weapon.png",".png","24319","0.02"
"Assets/UI/Inventory/inventory_icon_gloves.png","inventory_icon_gloves.png",".png","22991","0.02"
"Assets/UI/Fonts/base_gold_font/base_gold_font.fnt","base_gold_font.fnt",".fnt","6149","0.01"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/readable_passes/cotfw_chamber_tileset_256_readable_v1.tres","cotfw_chamber_tileset_256_readable_v1.tres",".tres","5980","0.01"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/readable_passes/cotfw_chamber_tileset_256_readable_v2.tres","cotfw_chamber_tileset_256_readable_v2.tres",".tres","5944","0.01"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/readable_passes/cotfw_chamber_tileset_128_readable_v2.tres","cotfw_chamber_tileset_128_readable_v2.tres",".tres","5811","0.01"
"Assets/chamber_of_first_weave/Tiles/_archive/generated_versions/readable_passes/cotfw_chamber_tileset_128_readable_v1.tres","cotfw_chamber_tileset_128_readable_v1.tres",".tres","5786","0.01"
"Assets/Environment/Doors/threadbound_boss_door.svg","threadbound_boss_door.svg",".svg","860","0"
"Assets/UI/Fonts/base_gold_font/base_gold_label_settings.tres","base_gold_label_settings.tres",".tres","344","0"
"Assets/UI/Fonts/decorative_font/decorative_font_theme.tres","decorative_font_theme.tres",".tres","280","0"
"Assets/UI/Fonts/base_gold_font/base_gold_font_theme.tres","base_gold_font_theme.tres",".tres","270","0"
